,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description
crime_category,ALL OTHER OFFENSES,ARSON,ASSAULT,BRIBERY,BURGLARY/COMMERCIAL,BURGLARY/RESIDENTIAL,DISORDERLY CONDUCT,DRUG VIOLATIONS,DRUGS,EMBEZZLEMENT,EXTORTION,FRAUD,GAMBLING,HUMAN TRAFFICKING,HUMANE,KIDNAPPING,LARCENY,LARCENY FROM MV,LIQUOR LAW VIOLATIONS,MISCELLANEOUS,MURDER,MV THEFT,OBSCENE MATERIAL,PROSTITUTION,ROBBERY,SEX OFFENSES,STOLEN PROPERTY,TRAFFIC,UNAUTHORIZED MOTOR VEHICLE USE,VANDALISM,WEAPONS VIOLATION
zips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27529,0.0641601961585615,0.001770875902465604,0.19724833129001498,0.0,0.020024519820187985,0.02956000544884893,0.014167007219724833,0.05217272851110203,0.1255959678517913,0.004222857921264133,0.0006811061163329246,0.058030241111565184,0.00013622122326658494,0.0010897697861326796,0.01689143168505653,0.0014984334559324344,0.10979430595286746,0.06484130227489443,0.0029968669118648687,0.0,0.0013622122326658493,0.025882032420651138,0.0014984334559324344,0.0008173273395995096,0.024928483857785042,0.002043318348998774,0.01212368887072606,0.01798120147118921,0.0099441492984607,0.09344775916087726,0.045089224901239615
27545,0.081377151799687,0.0,0.26291079812206575,0.0,0.012519561815336464,0.04225352112676056,0.006259780907668232,0.04225352112676056,0.09702660406885759,0.0,0.0,0.03755868544600939,0.0,0.0,0.026604068857589983,0.001564945226917058,0.06259780907668232,0.07981220657276995,0.003129890453834116,0.0,0.001564945226917058,0.01564945226917058,0.0,0.0,0.009389671361502348,0.001564945226917058,0.010954616588419406,0.04225352112676056,0.00782472613458529,0.10172143974960876,0.053208137715179966
27560,0.05104281009879254,0.001646542261251372,0.0801317233809001,0.0,0.014270032930845226,0.010976948408342482,0.008781558726673985,0.043907793633369926,0.3446761800219539,0.0060373216245883645,0.0010976948408342481,0.07464324917672886,0.0,0.0038419319429198683,0.0060373216245883645,0.001646542261251372,0.09055982436882547,0.0801317233809001,0.0,0.0,0.0010976948408342481,0.027991218441273325,0.0038419319429198683,0.0,0.01646542261251372,0.001646542261251372,0.013172338090010977,0.02305159165751921,0.009330406147091108,0.05159165751920966,0.03238199780461032
27571,0.05445881552076242,0.0,0.14703880190605853,0.0,0.011572498298162015,0.04697072838665759,0.005445881552076242,0.01701837985023826,0.0381211708645337,0.0040844111640571815,0.0020422055820285907,0.11776718856364875,0.0,0.0,0.0381211708645337,0.0,0.1531654186521443,0.1749489448604493,0.0,0.0,0.0,0.0381211708645337,0.0020422055820285907,0.0,0.004765146358066712,0.0034036759700476512,0.0068073519400953025,0.02518720217835262,0.004765146358066712,0.09189925119128659,0.012253233492171545
27587,0.050664043285784555,0.000983767830791933,0.1633054599114609,0.0,0.014756517461878997,0.08362026561731431,0.004918839153959666,0.02262666010821446,0.06296114117068372,0.003935071323167732,0.001967535661583866,0.06837186424003935,0.0,0.0004918839153959665,0.038366945400885394,0.0004918839153959665,0.09739301524840138,0.1278898180029513,0.0004918839153959665,0.0,0.0004918839153959665,0.04525332021642892,0.002459419576979833,0.000983767830791933,0.015248401377274963,0.000983767830791933,0.010821446138711265,0.017707820954254796,0.0073782587309394985,0.10821446138711265,0.04722085587801279
27591,0.05786873676781934,0.0014114326040931546,0.27170077628793227,0.0,0.0028228652081863093,0.04446012702893437,0.01058574453069866,0.035285815102328866,0.11714890613973183,0.002117148906139732,0.002117148906139732,0.043048694424841216,0.0,0.0007057163020465773,0.03669724770642202,0.004940014114326041,0.06916019760056458,0.0529287226534933,0.0028228652081863093,0.0,0.0,0.029640084685956247,0.0,0.0,0.013408609738884969,0.0035285815102328866,0.004234297812279464,0.029640084685956247,0.007057163020465773,0.10726887791107975,0.04940014114326041
27592,0.05978934324659232,0.0,0.10749690210656754,0.0,0.01084262701363073,0.04584882280049566,0.010223048327137546,0.05080545229244114,0.08643122676579926,0.004646840148698885,0.0009293680297397769,0.09851301115241635,0.0,0.0,0.046468401486988845,0.0012391573729863693,0.12670384138785626,0.1087360594795539,0.004956629491945477,0.0,0.0,0.02137546468401487,0.0015489467162329617,0.0003097893432465923,0.01084262701363073,0.008983890954151178,0.007744733581164808,0.07465923172242875,0.0027881040892193307,0.08426270136307311,0.02385377942998761
27597,0.06493824140882964,0.0017121193591781826,0.14430720313073253,0.0,0.010395010395010396,0.036321389262565736,0.011495658554482084,0.041457747340100284,0.11226611226611227,0.0023235905588846763,0.0013452366393542864,0.08805185275773511,0.0,0.0,0.019689372630549103,0.0014675308792955852,0.1304879540173658,0.08450531979943744,0.0017121193591781826,0.0,0.0007337654396477926,0.02776079246667482,0.001589825119236884,0.005014063837593249,0.03216338510456158,0.0029350617585911704,0.011495658554482084,0.04268068973951327,0.005870123517182341,0.08181484652072887,0.03546532958297664
27601,0.05712423979148566,0.0008688097306689834,0.1993918331885317,0.0,0.009774109470026065,0.059296264118158123,0.011946133796698523,0.04908774978279757,0.10056472632493484,0.0023892267593397048,0.0015204170286707212,0.07037358818418767,0.0,0.0,0.02801911381407472,0.0006516072980017377,0.08145091225021721,0.08058210251954821,0.003258036490008688,0.0,0.0013032145960034753,0.02736750651607298,0.0017376194613379669,0.0006516072980017377,0.01629018245004344,0.013466550825369244,0.011511728931364032,0.03301476976542137,0.007602085143353606,0.09795829713292789,0.03279756733275413
27603,0.07403846153846154,0.0,0.12788461538461537,0.0,0.020673076923076922,0.03653846153846154,0.011538461538461539,0.05721153846153846,0.08269230769230769,0.004326923076923077,0.0014423076923076924,0.08173076923076923,0.0,0.0,0.035096153846153846,0.0004807692307692308,0.12980769230769232,0.11057692307692307,0.0038461538461538464,0.0004807692307692308,0.0,0.03076923076923077,0.0004807692307692308,0.0014423076923076924,0.020192307692307693,0.00625,0.007211538461538462,0.057692307692307696,0.0057692307692307696,0.07067307692307692,0.021153846153846155
27604,0.047463968957871396,0.0016629711751662971,0.1385809312638581,0.0001385809312638581,0.016491130820399113,0.03561529933481153,0.009423503325942351,0.041990022172949004,0.09659090909090909,0.004781042128603104,0.0007621951219512195,0.09257206208425721,6.929046563192905e-05,0.00034645232815964526,0.03062638580931264,0.0011086474501108647,0.19318181818181818,0.0770509977827051,0.0020787139689578712,0.0,0.0008314855875831486,0.02536031042128603,0.0009007760532150776,0.0024944567627494456,0.020509977827051,0.0034645232815964525,0.010878603104212861,0.03325942350332594,0.007136917960088692,0.07552660753880266,0.0291019955654102
27605,0.06206215196694809,0.0014370396982216634,0.14909286869049757,0.0,0.012843542302856116,0.04041674151248428,0.011945392491467578,0.050026944494341655,0.08397700736482845,0.004221304113526136,0.0012574097359439554,0.08146218789294055,0.0,0.00026944494341656186,0.03646488234237471,0.0016166696604993714,0.15169750314352434,0.09232980061074188,0.002784264415304473,0.0,0.0006287048679719777,0.023531525058379736,0.0006287048679719777,0.0005388898868331237,0.016705586491826838,0.008442608227052272,0.007454643434524879,0.03924914675767918,0.006197233698580923,0.08640201185557751,0.02631578947368421
27606,0.057725374600835176,0.0017194792434291329,0.17882584131662982,0.00024563989191844754,0.008597396217145665,0.070253009088676,0.008351756325227217,0.03930238270695161,0.07246376811594203,0.0012281994595922379,0.0007369196757553427,0.07098992876443135,0.00024563989191844754,0.0,0.043723900761483664,0.0004912797838368951,0.0899042004421518,0.12183738639154999,0.0019651191353475803,0.0,0.0004912797838368951,0.0356177843281749,0.002210759027266028,0.0,0.015720953082780643,0.005649717514124294,0.007123556865634979,0.023827069516089414,0.008106116433308769,0.10832719233603537,0.02431834929992631
27607,0.06425882774690805,0.0008065961641871303,0.17046065603154686,0.0,0.008065961641871303,0.048395769851227816,0.009410288582183186,0.0463344685427496,0.09240007169743682,0.002419788492561391,0.0011650833482702992,0.08998028320487543,8.962179602079225e-05,0.0010754615522495072,0.03414590428392185,0.0012547051442910915,0.1030650654239111,0.09096612296110414,0.0012547051442910915,8.962179602079225e-05,0.0006273525721455458,0.024735615701738663,0.0017028141243950528,0.002061301308478222,0.013264025811077254,0.0034056282487901057,0.009948019358307941,0.05180139810001792,0.006990500089621796,0.09634343072235167,0.02348091055744757
27608,0.06649664095546155,0.0006842498133864145,0.129385419258522,0.0,0.011134610599651654,0.015053495894501119,0.023264493655138094,0.08864145309778552,0.14997511818860412,0.004043294351828813,0.0008086588703657626,0.057601393381438167,0.0,0.0006220452848967405,0.017790495148046776,0.0006220452848967405,0.10506344861905947,0.062266733018163725,0.016919631749191342,0.0,0.00043543169942771834,0.017914904205026127,0.0006220452848967405,0.0003732271709380443,0.009703906444389152,0.0035456581239114208,0.008210997760636975,0.09846976859915402,0.004478726051256532,0.07638716098531974,0.0294849465041055
27609,0.06024214981789546,0.0013288709518653411,0.16630573875381435,0.0,0.008859139679102275,0.04651048331528694,0.010434097844276012,0.06619746037995866,0.131213702136037,0.0027069593463923615,0.0007382616399251895,0.05817501722610493,4.92174426616793e-05,0.00044295698395511367,0.024904025986809724,0.0012796535092036618,0.1003543655871641,0.08027364898119893,0.006152180332709913,0.0,0.0006890441972635102,0.026577419037306822,0.0010335662958952652,0.0011812186238803033,0.022000196869770648,0.003789743084949306,0.010040358302982577,0.031449945860813074,0.0066443547593267056,0.087016438625849,0.04340978442760114
27610,0.05501432664756447,0.0012177650429799427,0.17106017191977077,0.0,0.01167621776504298,0.06088825214899714,0.014183381088825215,0.05150429799426934,0.09305157593123209,0.0035816618911174787,0.0013610315186246419,0.07901146131805158,0.0,0.0004297994269340974,0.0335243553008596,0.0017191977077363897,0.10938395415472779,0.09197707736389685,0.0071633237822349575,0.0,0.00014326647564469913,0.030014326647564468,0.0012893982808022922,0.0013610315186246419,0.015472779369627506,0.0020773638968481375,0.009097421203438396,0.02041547277936963,0.006948424068767908,0.09391117478510029,0.032521489971346705
27612,0.05720317683723736,0.0010053282396702524,0.15637880768070775,0.0,0.012164471700010053,0.049814014275661005,0.008796622097114707,0.04046446164672766,0.08102945611742234,0.004272645018598573,0.0016587915954559163,0.08997687745048759,5.0266411983512615e-05,0.0003518648838845883,0.035839951744244494,0.0011561274756207902,0.14285714285714285,0.09776817130793204,0.0017593244194229415,0.0,0.0006031969438021514,0.025686136523574946,0.0012566602995878154,0.0014577259475218659,0.017442444958278878,0.007389162561576354,0.007992359505378506,0.03679501357193123,0.006283301497939077,0.0884186186789987,0.024127877752086056
27613,0.06344984802431611,0.0011398176291793312,0.14551671732522797,0.0,0.011018237082066869,0.03571428571428571,0.01405775075987842,0.03875379939209726,0.07522796352583587,0.00303951367781155,0.0007598784194528875,0.10182370820668693,0.0,0.0011398176291793312,0.040653495440729485,0.00037993920972644377,0.11778115501519756,0.11018237082066869,0.001899696048632219,0.0,0.0,0.028495440729483283,0.001899696048632219,0.004179331306990881,0.015957446808510637,0.004179331306990881,0.007978723404255319,0.03609422492401216,0.0026595744680851063,0.11056231003039514,0.025455927051671733
27614,0.06183680031660442,0.001706695688738282,0.17586386010042296,2.4734720126641766e-05,0.011452175418635139,0.04044126740705929,0.013777239110539465,0.05112666650176853,0.12936258626233643,0.003487595537856489,0.0007915110440525365,0.06453288481040836,4.946944025328353e-05,0.0003462860817729847,0.02478418956689505,0.0014593484874718642,0.11303767097875288,0.06267778080091024,0.0021024512107645503,2.4734720126641766e-05,0.0010883276855722377,0.021989166192584533,0.0010883276855722377,0.001187266566078805,0.017561651289915655,0.0025229414529174604,0.010215439412303049,0.03569220114274407,0.006752578594573203,0.08746197036780529,0.05555418140443741
27615,0.07444399279948899,0.001103304105452645,0.15899192845943905,0.00011613727425817315,0.012194413797108183,0.01864003251843679,0.02566633761105627,0.0696242959177748,0.10649788049474479,0.004471285058939667,0.0008129609198072121,0.08042506242378492,0.0,5.806863712908658e-05,0.030311828581383194,0.0009290981940653852,0.13466116950235177,0.07397944370245631,0.009407119214912026,5.806863712908658e-05,0.0004645490970326926,0.02073050345508391,0.0006387550084199524,0.0008710295569362987,0.01678183613030602,0.006387550084199524,0.007490854189652169,0.035363800011613725,0.004703559607456013,0.08280587654607746,0.021369258463503862
27616,0.05358959453567795,0.0013442813544542944,0.14587269292254032,0.0,0.009518965266676355,0.044288620839994186,0.0075570411277430605,0.026558639732597006,0.056314489173085305,0.00501380613282953,0.0015622729254468827,0.11600784769655573,0.00010899578549629414,3.633192849876471e-05,0.04203604127307078,0.0006903066414765296,0.21559366371166983,0.08992152303444267,0.0012352855689580003,3.633192849876471e-05,0.00018165964249382358,0.02350675773870077,0.0018892602819357651,0.0002906554279901177,0.010463595407644237,0.00316087777939253,0.00701206220026159,0.0241970643801773,0.006903066414765296,0.08276413312018602,0.022344136026740298
27617,0.04962258876153201,0.0009784735812133072,0.08764327648867766,0.0,0.01397819401733296,0.018870561923399497,0.006569751188146492,0.02516074923119933,0.045429130556332124,0.010763209393346379,0.0009784735812133072,0.12286832541235672,0.0,0.0,0.0349454850433324,0.0002795638803466592,0.35448700027956387,0.08526698350573106,0.0004193458205199888,0.0,0.0005591277606933184,0.020128599384959464,0.0008386916410399776,0.0001397819401733296,0.009644953871959744,0.00349454850433324,0.009784735812133072,0.02767682415431926,0.002096729102599944,0.061504053676265026,0.005870841487279843
27703,0.08,0.002352941176470588,0.1776470588235294,0.0,0.00823529411764706,0.07176470588235294,0.002352941176470588,0.023529411764705882,0.03058823529411765,0.0,0.0058823529411764705,0.12823529411764706,0.0,0.001176470588235294,0.05529411764705883,0.002352941176470588,0.09647058823529411,0.0976470588235294,0.002352941176470588,0.0,0.001176470588235294,0.03294117647058824,0.0035294117647058825,0.0,0.009411764705882352,0.0035294117647058825,0.0058823529411764705,0.02,0.004705882352941176,0.11529411764705882,0.01764705882352941
27707,0.054455445544554455,0.0,0.17326732673267325,0.0,0.009900990099009901,0.054455445544554455,0.012376237623762377,0.01485148514851485,0.03217821782178218,0.0,0.0,0.10643564356435643,0.0,0.0,0.06435643564356436,0.0,0.10396039603960396,0.11138613861386139,0.0,0.0,0.0,0.034653465346534656,0.0049504950495049506,0.0024752475247524753,0.009900990099009901,0.01485148514851485,0.0024752475247524753,0.017326732673267328,0.007425742574257425,0.1485148514851485,0.019801980198019802
27709,0.09650924024640657,0.002053388090349076,0.14784394250513347,0.0,0.0,0.059548254620123205,0.002053388090349076,0.01026694045174538,0.028747433264887063,0.0,0.002053388090349076,0.11498973305954825,0.0,0.0,0.11704312114989733,0.0,0.09034907597535935,0.09240246406570841,0.0,0.0,0.002053388090349076,0.028747433264887063,0.002053388090349076,0.0,0.0,0.0,0.004106776180698152,0.04106776180698152,0.008213552361396304,0.14168377823408623,0.008213552361396304
27713,0.06048718182647569,0.0023720463461363015,0.15053371042788066,0.0,0.011586534075358089,0.04598120609433446,0.006477511175987593,0.02700483532524405,0.05565185658242861,0.005930115865340754,0.002189581242587355,0.11805492199616824,0.0,0.00018246510354894625,0.061946902654867256,0.0008210929659702581,0.11267220144147432,0.1242587355168324,0.001368488276617097,0.0,0.0005473953106468388,0.028738253808959037,0.002736976553234194,0.00018246510354894625,0.009670650488094151,0.0016421859319405163,0.007754766900830217,0.030471672292674026,0.007389836693732324,0.09497308639722653,0.028373323601861143
